Exercise Number,Question Text,Chapter_name
Exercise 10.6,"Using fi11_n, write a program to set a sequence of int values to 0.",Generic Algorithms
Exercise 10.7,"Determine if there are any errors in the following programs and, if so, correct the error(s): (a) vector<int> vec; list<int> lst; int i; while (cin >> i) lst.push back(i); copy(lst.cbegin(), lst.cend(), vec.begin()); (b) vector<int> vec; vec.reserve (10) ; // reserve is covered in 9.4 (p.356) fill_nvec.begin(), 10, 0;",Generic Algorithms
Exercise 10.8,"We said that algorithms do not change the size of the containers over which they operate. Why doesn't the use of back_inserter invalidate this claim? Eliminating Duplicates To eliminate the duplicated words, we will first sort the vect or so that duplicated words appear adjacent to each other. Once the vector is sorted, we can use an- other library algorithm, named uni que, to reorder the vector so that the unique elements appear in the first part of the vector. Because algorithms cannot do. container operations, well use the erase member of vector to actually remove the elements: void elimDups(vector<string> &words) I /sort words alphabetically so we can find the duplicates sort (words.begin(), words.end()); / /  uni que reorders the input range so that each word appears once in the. / /front portion of the range and returns an iterator one past the unique range auto end_unique = unique(words.begin(), words.end()); I / erase uses a vector operation to remove the nonunique elements. words.erase(end_unique, words.end()); Ihe sort algorithm takes two iterators denoting the range of elements to sort. In. this call, we sort the entire vector. After the call to sort, words is ordered as fox jumps over quickredredslowthe the turtle Note that the words red and the appear twice.. Using unique Once words is sorted, we want to keep only one copy of each word. The unique. algorithm rearranges the input range to ""eliminate"" adjacent duplicated entries,",Generic Algorithms
Exercise 10.9,"Implement your own version of elimDups. Test your program by printing the vector after you read the input, after the call to unique, and after the call to erase..",Generic Algorithms
Exercise 10.10,"Why do you think the algorithms don't change the size of containers? 10.3Customizing Operations Many of the algorithms compare elements in the input sequence. By default, such algorithms use either the element type's < or == operator. The library also defines versions of these algorithms that let us supply our own operation to use in place of the default operator.",Generic Algorithms
Exercise 10.11,Write a program that uses stable_sort and isShorter to sort a vector passed to your version of elimDups. Print the vector to verify that your. program is correct.,Generic Algorithms
Exercise 10.12,Write a function named compareIsbn that compares the isbn () members of two Sales_data objects. Use that function to sort a vector that holds. Sales_data objects.,Generic Algorithms
Exercise 10.13,"The library defines an algorithm named part i t i on that takes a pred-. icate and partitions the container so that values for which the predicate is t rue appear in the first part and those for which the predicate is fa1 se appear in the second part. The algorithm returns an iterator just past the last element for which the predicate returned true. Write a function that takes a string and returns a bool indicating whether the st ring has five characters or more. Use that function to partition words. Print the elements that have five or more characters. 10.3.2Lambda Expressions The predicates we pass to an algorithm must have exactly one or two parameters, depending on whether the algorithm takes a unary or binary predicate, respec tively. However, sometimes we want to do processing that requires more argu- ments than the algorithm's predicate allows. For example, the solution you wrote. for the last exercise in the previous section had to hard-wire the size 5 into the pred icate used to partition the sequence. It would be move useful to be able to partition a sequence without having to write a separate predicate for every possible size. As a related example, well revise our program from $ 10.3.1 (p. 387) to report how many words are of a given size or greater. Well also change the output so that it prints only the words of the given length or greater. A sketch of this function, which well name biggies, is as follows:.",Generic Algorithms
Exercise 10.14,Write a lambda that takes two ints and returns their sum.,Generic Algorithms
Exercise 10.15,Write a lambda that captures an int from its enclosing function and takes an int parameter. The lambda should return the sum of the captured int and the int parameter.,Generic Algorithms
Exercise 10.16,Write your own version of the biggies function using lambdas.,Generic Algorithms
Exercise 10.17,Rewrite exercise 10.12 from  10.3.1 (p. 387) to use a lambda in the call to sort instead of the compareIsbn function..,Generic Algorithms
Exercise 10.18,Rewrite biggies to use partition instead of find_if. We de- scribed the part it ion algorithm in exercise 10.13 in $ 10.3.1 (p. 387).,Generic Algorithms
Exercise 10.19,"Rewrite the previous exercise to use stable_partition, which like stable_sort maintains the original element order in the paritioned sequence 10.3.3Lambda Captures and Returns When we define a lambda, the compiler generates a new (unnamed) class type that. corresponds to that lambda. Well see how these classes are generated in $ 14.8.1 (p. 572). For now, what's useful to understand is that when we pass a lambda to a function, we are defining both a new type and an object of that type: The argument is an unnamed object of this compiler-generated class type. Similarly, when we use auto to define a variable initialized by a lambda, we are defining an object of the type generated from that lambda. By default, the class generated from a lambda contains a data member corre- sponding to the variables captured by the lambda. Like the data members of any class, the data members of a lambda are initialized when a lambda object is created. Capture by Value Similar to parameter passing, we can capture variables by value or by reference.. Table 10.1 (p.395) covers the various ways we can form a capture list.So far, our lambdas have captured variables by value. As with a parameter passed by value, it must be possible to copy such variables. Unlike parameters, the value of a captured variable is copied when the lambda is created, not when it is called. void fcnl() size_t v1 =42// local variable I /copies v1 into the callable object named f auto f = [vl] {return vl; }; v1=0 auto j = f();// j is 42;f stored a copy ofv1 when we created it 1 Because the value is copied when the lambda is created, subsequent changes to a captured variable have no effect on the corresponding value inside the lambda..",Generic Algorithms
Exercise 10.20,"The library defines an algorithm named count_if. Like find_if, this function takes a pair of iterators denoting an input range and a predicate that it. applies to each element in the given range. count_i f returns a count of how often the predicate is true. Use count_if to rewrite the portion of our program that counted how many words are greater than length 6.",Generic Algorithms
Exercise 10.21,"Write a lambda that captures a local int variable and decrements that variable until it reaches 0. Once the variable is 0 additional calls should no longer decrement the variable. The lambda should return a bool that indicates whether the captured variable is 0. 10.3.4Binding Arguments Lambda expressions are most useful for simple operations that we do not need to use in more than one or two places. If we need to do the same operation in many places, we should usually define a function rather than writing the same lambda expression multiple times. Similarly, if an operation requires many statements, it. is ordinarily better to use a function. It is usually straightforward to use a function in place of a lambda that has an. empty capture list. As we've seen, we can use either a lambda or our isShorter function to order the vector on word length. Similarly, it would be easy to replace. the lambda that printed the contents of our vect or by writing a function that takes a string and prints the given string to the standard output. However, it is not so easy to write a function to replace a lambda that captures local variables. For example, the lambda that we used in the call to find if same work: bool check_size(const string &s, string::size_type sz). return s.size() >= sz; However, we can't use this function as an argument to find if. As we've seen find if takes a unary predicate, so the callable passed to find if must take a list to store sz. In order to use check si ze in place of that lambda, we have to. The Library bind Function We can solve the problem of passing a size argument to check size by using a new library function named bind, which is defined in the functiona1 header. The bind function can be thought of as a general-purpose function adaptor ($ 9.6,) p. 368). It takes a callable object and generates a new callable that ""adapts"" the parameter list of the original object.",Generic Algorithms
Exercise 10.22,Rewrite the program to count words of size 6 or less using functions in place of the lambdas.,Generic Algorithms
Exercise 10.23,How many arguments does bind take?.,Generic Algorithms
Exercise 10.24,Use bind and check_size to find the first element in a vector of ints that has a value greater than the length of a specified string value.,Generic Algorithms
Exercise 10.25,"In the exercises for  10.3.2 (p. 392) you wrote a version of biggies that uses partition. Rewrite that function to use check_size and bind. 10.4Revisiting Iterators In addition to the iterators that are defined for each of the containers, the library defines several additional kinds of iterators in the iterator header. These itera- tors include Insert iterators: These iterators are bound to a container and can be used to insert elements into the container. Stream iterators: These iterators are bound to input or output streams and can be used to iterate through the associated IO stream.. Reverse iterators: These iterators move backward, rather than forward. The library containers, other than forward_list, have reverse iterators. : Move iterators: These special-purpose iterators move rather than copy their. elements. We11 cover move iterators in $ 13.6.2 (p. 543) 10.4.1Insert Iterators An inserter is an iterator adaptor (S 9.6, p. 368) that takes a container and yields an iterator that adds elements to the specified container. When we assign a value through an insert iterator, the iterator calls a container operation to add an element at a specified position in the given container. The operations these iterators support are listed in Table 10.2 (overleaf).",Generic Algorithms
Exercise 10.26,Explain the differences among the three kinds of insert iterators.,Generic Algorithms
Exercise 10.27,"In addition to unique (S 10.2.3, p. 384), the library defines function named unique_copy that takes a third iterator denoting a destination into which to copy the unique elements. Write a program that uses unique_copy to copy the unique elements from a vector into an initially empty 1i st.",Generic Algorithms
Exercise 10.28,"Copy a vector that holds the values from 1 to 9 inclusive, into three other containers. Use an inserter, a back_inserter, and a front_inserter, respectivly to add elements to these containers. Predict how the output sequence varies by the kind of inserter and verify your predictions by running your programs. 10.4.2 iostreamIterators Even though the iostream types are not containers, there are iterators that can be used with objects of the IO types (S 8.1, p. 310). An istream iterator (Ta- ble 10.3 (overleaf)) reads an input stream, and an ostream_iterator (Table 10.4 (p. 405)) writes an output stream. These iterators treat their corresponding stream as a sequence of elements of a specified type. Using a stream iterator, we can use the generic algorithms to read data from or write data to stream objects Operations on istream_iterators When we create a stream iterator, we must specify the type of objects that the iterator will read or write. An istream_iterator uses >> to read a stream. Therefore, the type that an istream iterator reads must have an input opera- tor defined. When we create an istream iterator, we can bind it to a stream Alternatively, we can default initialize the iterator, which creates an iterator that we can use as the off-the-end value. istream iterator<int> int_it(cin); // reads ints from cin istream_iterator<int> int_eof; //end iterator value ifstream in(""afile""); istream_iterator<string> str_it(in); // reads stringsfrom ""afile"" As an example, we can use an istream iterator to read the standard input into a vector: istream_iterator<int> in_iter (cin); // read intsfrom cin istream iterator<int> eof; //istream""end'iterator while (in iter != eof)// while there's valid input to read // postfix increment reads the stream and returns the old value of the iterator I / we dereference that iterator to get the previous value read from the stream vec.push_back(in_iter++); This loop reads ints from cin, storing what was read in vec. On each iteration, the loop checks whether in iter is the same as eof. That iterator was defined as the empty istream iterator, which is used as the end iterator. An iterator",Generic Algorithms
Exercise 10.29,Write a program using stream iterators to read a text file into a vector. of strings.,Generic Algorithms
Exercise 10.30,"Use stream iterators, sort, and copy to read a sequence of integers from the standard input, sort them, and then write them back to the standard output.",Generic Algorithms
Exercise 10.31,"Update the program from the previous exercise so that it prints only the unique elements. Your program should use unqiue_copy ($ 10.4.1, p. 403).",Generic Algorithms
Exercise 10.32,"Rewrite the bookstore problem from $ 1.6 (p. 24) using a vector to hold the transactions and various algorithms to do the processing. Use sort with your compareI sbn function from  10.3.1 (p. 387) to arrange the transactions in order, and then use find and accumulate to do the sum...",Generic Algorithms
Exercise 10.33,"Write a program that takes the names of an input file and two output files. The input file should hold integers. Using an istream_iterator read the input file. Using ostream_iterators, write the odd numbers into the first output file. Each value should be followed by a space. Write the even numbers into the second file. Each of these values should be placed on a separate line. 10.4.3Reverse Iterators A reverse iterator is an iterator that traverses a container backward, from the last element toward the first. A reverse iterator inverts the meaning of increment (and decrement). Incrementing (++it) a reverse iterator moves the iterator to the pre- vious element; derementing (- - it) moves the iterator to the next element. The containers, aside from forward 1ist, all have reverse iterators. We ob- tain a reverse iterator by calling the rbegin, rend, crbegin, and crend mem- bers. These members return reverse iterators to the last element in the container and one ""past"" (i.e., one before) the beginning of the container. As with ordinary iterators, there are both const and nonconst reverse iterators. Figure 10.1 illustrates the relationship between these four iterators on a hypo thetical vector named vec.. Figure 10.1: Comparing begin/cend and rbegin/crend Iterators vec.cbegin() vec.cend() vec.crend() vec.crbegin() As an example, the following loop prints the elements of vec in reverse order:",Generic Algorithms
Exercise 10.34,Use reverse_iterators to print a vector in reverse order.,Generic Algorithms
Exercise 10.35,Now print the elements in reverse order using ordinary iterators.,Generic Algorithms
Exercise 10.36,Use f ind to find the last element in a 1ist of ints with value 0.,Generic Algorithms
Exercise 10.37,"Given a vector that has ten elements, copy the elements from posi- tions 3 through 7 in reverse order to a 1ist.. 10.5 Structure of Generic Algorithms The most fundamental property of any algorithm is the list of operations it requires from its iterator(s). Some algorithms, such as f ind, require only the ability to ac- cess an element through the iterator, to increment the iterator, and to compare two iterators for equality. Others, such as sort, require the ability to read, write, and randomly access elements. The iterator operations required by the algorithms are grouped into five iterator categories listed in Table 10.5. Each algorithm specifies what kind of iterator must be supplied for each of its iterator parameters. A second way is to classify the algorithms (as we did in the beginning of this chapter) is by whether they read, write, or reorder the elements in the sequence. Appendix A covers all the algorithms according to this classification. The algorithms also share a set of parameter-passing conventions and a set of naming conventions, which we shall cover after looking at iterator categories. Table 10.5: Iterator Categories Input iterator Read, but not write; single-pass, increment only Output iterator Write, but not read; single-pass, increment only. Forward iterator Read and write; multi-pass, increment only Bidirectional iterator Read and write; multi-pass, increment and decrement Random-access iterator Read and write; multi-pass, full iterator arithmetic 10.5.1 The Five Iterator Categories Like the containers, iterators define a common set of operations. Some operations are provided by all iterators; other operations are supported by only specific kinds. of iterators. For example, ostream iterators have only increment, derefer ence, and assignment. Iterators on vector, strings, and deques support these operations and the decrement, relational, and arithmetic operators. Iterators are categorized by the operations they provide and the categories form a sort of hierarchy. With the exception of output iterators, an iterator of a higher category provides all the operations of the iterators of a lower categories. Ihe standard specifies the minimum category for each iterator parameter of the",Generic Algorithms
Exercise 10.38,List the five iterator categories and the operations that each supports.,Generic Algorithms
Exercise 10.39,What kind of iterator does a li st have? What about a vector?.,Generic Algorithms
Exercise 10.40,"What kinds of iterators do you think copy requires?  What about reverse or unique? 10.5.2Algorithm Parameter Patterns Superimposed on any other classification of the algorithms is a set of parameter conventions. Understanding these parameter conventions can aid in learning new algorithmsby knowing what the parameters mean, you can concentrate on un derstanding the operation the algorithm performs. Most of the algorithms have one of the following four forms: alg(beg,end,otherargs); alg(beg, end, dest, other args); alg(beg, end,beg2,other args; alg(beg,end,beg2, end2,otherargs; where alg is the name of the algorithm, and beg and end denote the input range. on which the algorithm operates. Although nearly all algorithms take an input",Generic Algorithms
Exercise 10.41,"Based only on the algorithm and argument names, describe the oper-. ation that the each of the following library algorithms performs:. replace(beg, end, old_val, new_val); replace_if(beg, end, pred, new_val); replace_copy(beg, end, dest, old val, new val); replace_copy_if(beg, end, dest, pred, new_val); 10.6 Container-Specific Algorithms Unlike the other containers, 1ist and forward 1ist define several algorithms as members. In particular, the list types define their own versions of sort, merge, remove, reverse, and unique. The generic version of sort requires random- access iterators. As a result, sort cannot be used with list and forward 1ist because these types offer bidirectional and forward iterators, respectively. The generic versions of the other algorithms that the list types define can be used with lists, but at a cost in performance. These algorithms swap elements in the input sequence. A list can ""swap"" its elements by changing the links among its elements rather than swapping the values of those elements. As a result, the list- specific versions of these algorithms can achieve much better performance than the corresponding generic versions. These 1ist-specific operations are described in Table 10.6. Generic algorithms not listed in the table that take appropriate iterators execute equally efficiently on. lists and forward listss as on other containers. Best The list member versions should be used in preference to the generic Practices algorithms for lists and forward lists.. Table 10.6: Algorithms That are Members of 1ist and forward 1ist These operations return void.. 1st.merge (lst2) Merges elements from 1st2 onto 1st. Both 1st and 1st2 1st.merge (lst2, comp) must be sorted. Elements are removed from 1st2. After the merge, 1st2 is empty. The first version uses the < operator;. the second version uses the given comparison operation. 1st.remove (val) Calls erase to remove each element that is == to the given 1st.remove_if(pred) value or for which the given unary predicate succeeds.. 1st.reverse() Reverses the order of the elements in 1st. 1st.sort() Sorts the elements of 1 st using < or the given comparison op- 1st.sort (comp) eration. 1st.unique() Calls erase to remove consecutive copies of the same value. 1st.unique (pred) The first version uses ==; the second uses the given binary predicate.",Generic Algorithms
Exercise 10.42,Reimplement the program that eliminated duplicate words that we wrote in  10.2.3 (p. 383) to use a 1ist instead of a vector.,Generic Algorithms
Exercise 11.1,Describe the differences between a map and a vector.,Associative Containers
Exercise 11.2,"Give an example of when each of list, vector, deque, map, and set might be most useful.",Associative Containers
Exercise 11.3,Write your own version of the word-counting program.,Associative Containers
Exercise 11.4,"Extend your program to ignore case and punctuation. For example, example."" ""example,"" and Example should all increment the same counter.",Associative Containers
Exercise 11.5,Explain the difference between a map and a set. When might you use one or the other?,Associative Containers
Exercise 11.6,Explain the difference between a set and a 1ist. When might you use One or the other?,Associative Containers
Exercise 11.7,Define a map for which the key is the family's last name and the value is a vector of the children's names. Write code to add new families and to add new. children to an existing family.,Associative Containers
Exercise 11.8,"Write a program that stores the excluded words in a vector instead of in a set. What are the advantages to using a set?. 11.2.2 Requirements on Key Type. The associative containers place constraints on the type that is used as a key. We1l cover the requirements for keys in the unordered containers in S 11.4 (p. 445). For the ordered containers-map, mult imap, set, and multiset-the key type must define a way to compare the elements. By default, the library uses the < operator for the key type to compare the keys. In the set types, the key is the element type;",Associative Containers
Exercise 11.9,"Define a map that associates words with a 1ist of line numbers on which the word might occur. Exercise11.10: Could we define a map from vector<int>: :iterator to int? What about from list<int >: : iterator to int? In each case, if not, why not?",Associative Containers
Exercise 11.11,"Redefine bookstore without using decltype 11.2.3 The pair Type Before we look at the operations on associative containers, we need to know about the library type named pair, which is defined in the uti1ity header. A pair holds two data members. Like the containers, pair is a template from which we generate specific types. We must supply two type names when we create a pair. The data members of the pair have the corresponding types. There is no requirement that the two types be the same:. pair<string, string> anon; //holds two strings pair<string, size_t> word_count; // holdsa stringandan size_t pair<string, vector<int>> line; // holds stringand vector<int>",Associative Containers
Exercise 11.12,"Write a program to read a sequence of st rings and ints, storing each into a pair. Store the pairs in a vector.",Associative Containers
Exercise 11.13,"There are at least three ways to create the pairs in the program for the previous exercise. Write three versions of that program, creating the pairs in each way. Explain which form you think is easiest to write and understand, and why",Associative Containers
Exercise 11.14,"Extend the map of children to their family name that you wrote for the exercises in $ 11.2.1 (p. 424) by having the vector store a pair that holds a childs name and birthday. 11.3 Operations on Associative Containers In addition to the types listed in Table 9.2 (p. 330), the associative containers define. the types listed in Table 11.3. These types represent the container's key and value types. For the set types, the key type and the value type are the same; the values held in a set are the keys. In a map, the elements are key-value pairs. That is, each element is a pair object containing a key and a associated value. Because we cannot change an element's key, the key part of these pairs is const:",Associative Containers
Exercise 11.15,"What are the mapped_type, key_type, and value_type of a map from int to vector<int>?",Associative Containers
Exercise 11.16,Using a map iterator write an expression that assigns a value to an. element.,Associative Containers
Exercise 11.17,"Assuming c is a multiset of strings and v is a vector of. strings, explain the following calls. Indicate whether each call is legal: copy(v.begin(), v.end(), inserter(c, c.end())); copy(v.begin(),v.end(), back_inserter(c)); copy(c.begin(), c.end(), inserter(v, v.end())); copy(c.begin(), c.end(), back_inserter(v));",Associative Containers
Exercise 11.18,Write the type of map_it from the loop on page 430 without using auto or decltype..,Associative Containers
Exercise 11.19,"Define a variable that you initialize by calling begin () on the mu1tiset named bookstore from $ 11.2.2 (p. 425). Write the variables type without. using auto or decltype. 11.3.2Adding Elements The insert members (Table 11.4 (overleaf) add one element or a range of ele- ments. Because map and set (and the corresponding unordered types) contain unique keys, inserting an element that is already present has no effect: vector<int> ivec ={2,4,6,8,2,4,6,8}; // ivec has eight elements set<int> set2; //empty set set2.insert(ivec.cbegin(), ivec.cend()) ; // set2has fourelements set2.insert{1,3,5,7,1,3,5,7}); // set2 now has eight elements The versions of insert that take a pair of iterators or an initializer list work sim- ilarly to the corresponding constructors (S 11.2.1, p. 423)only the first element with a given key is inserted. Adding Elements to a map When we insert into a map, we must remember that the element type is a pair Often, we don't have a pair object that we want to insert. Instead, we create a pair in the argument list to insert: // four ways to add word to word count word_count.insert({word, 1}); word_count.insert (make_pair(word, 1)); word_count.insert(pair<string, size_t>(word, 1)); word_count.insert (map<string, size_t>::value_type(word, 1)); As we've seen, under the new standard the easiest way to create a pair is to use brace initialization inside the argument list. Alternatively, we can call make pair",Associative Containers
Exercise 11.20,Rewrite the word-counting program from S 11.1 (p.421) to use insert instead of subscripting. Which program do you think is easier to write and read? Explain your reasoning.,Associative Containers
Exercise 11.21,"Assuming word_count is a map from string to size_t and word is a string, explain the following loop: while (cin >> word) ++word_count.insert({word, 0}).first->second;",Associative Containers
Exercise 11.22,"Given a map<string, vector<int >>, write the types used as an argument and as the return value for the version of insert that inserts one element.",Associative Containers
Exercise 11.23,"Rewrite the map that stored vectors of childrens names with a key that is the family last name for the exercises in $ 11.2.1 (p. 424) to use a mu1 t imap. 11.3.3 Erasing Elements The associative containers define three versions of erase, which are described in Table 11.5. As with the sequential containers, we can erase one element or a range of elements by passing erase an iterator or an iterator pair. These versions of erase are similar to the corresponding operations on sequential containers: The indicated element(s) are removed and the function returns void. The associative containers supply an additional erase operation that takes a key_type argument. This version removes all the elements, if any, with the given key and returns a count of how many elements were removed.We can use this version to remove a specific word from word_count before printing the results: I / erase on a key returns the number of elements removed if (word_count.erase(removal_word)) cout << ""ok:  << removal_word <<  removed\n""; else cout << ""oops: "" << removal_word <<  not found!\n""; For the containers with unique keys, the return from erase is always either zero or one. If the return value is zero, then the element we wanted to erase was not in the container.",Associative Containers
Exercise 11.24,"What does the following program do? map<int, int> m; m[0]=1;",Associative Containers
Exercise 11.25,Contrast the following program with the one in the previous exercise vector<int> v; v[0]=1;,Associative Containers
Exercise 11.26,"What type can be used to subscript a map? What type does the sub script operator return? Give a concrete example-that is, define a map and then write the types that can be used to subscript the map and the type that would be returned from the subscript operator. is present, it still has to count how many elements have the same key. If we don't need the count, it's best to use f ind:. set<int>iset={0,1,2,3,4,5,6,7,8,9}; iset.find (1); I/returns an iterator that refers to the element with key == 1 iset.find (11); // returns the iterator ==iset.end() iset.count(1);// returns1 iset.count(11); // returns 0 Using find Instead of Subscript for maps For the map and unordered map types, the subscript operator provides the sim plest method of retrieving a value. However, as we've just seen, using a subscript has an important side effect: If that key is not already in the map, then subscript inserts an element with that key. Whether this behavior is correct depends on our expectations. Our word-counting programs relied on the fact that using a nonex- istent key as a subscript inserts an element with that key and value 0. Sometimes, we want to know if an element with a given key is present without changing the map. We cannot use the subscript operator to determine whether an element is present, because the subscript operator inserts a new element if the key is not already there. In such cases, we should use f ind: if (word count.find(""foobar"") == word_count.end()) cout << ""foobar is not in the map"" << endl; Finding Elements in amultimap or multiset Finding an element in an associative container that requires unique keys is a simple matterthe element is or is not in the container. For the containers that allow multiple keys, the process is more complicated: There may be many elements with the given key. When a multimap or multiset has multiple elements of a given key, those elements will be adjacent within the container.",Associative Containers
Exercise 11.27,What kinds of problems would you use count to solve? When might you use f ind instead?,Associative Containers
Exercise 11.28,Define and initialize a variable to hold the result of calling f ind on a map from string to vector of int.,Associative Containers
Exercise 11.29,"What do upper_bound, lower_bound, and equal_range return when you pass them a key that is not in the container?",Associative Containers
Exercise 11.30,Explain the meaning of the operand pos. first- >second used in the output expression of the final program in this section.,Associative Containers
Exercise 11.31,Write a program that defines a mul t imap of authors and their works. Use find to find an element in the multimap and erase that element. Be sure your program works correctly if the element you look for is not in the map.,Associative Containers
Exercise 11.32,"Using the mult imap from the previous exercise, write a program to print the list of authors and their works alphabetically. 11.3.6A Word Transformation Map We'll close this section with a program to illustrate creating, searching, and iterat- ing across a map. Well write a program that, given one string, transforms it into another. The input to our program is two files. The first file contains rules that we. will use to transform the text in the second file. Each rule consists of a word that might be in the input file and a phrase to use in its place. The idea is that when- ever the first word appears in the input, we will replace it with the corresponding. phrase. The second file contains the text to transform.",Associative Containers
Exercise 11.33,Implement your own version of the word-transformation program,Associative Containers
Exercise 11.34,What would happen if we used the subscript operator instead of f ind in the transform function?,Associative Containers
Exercise 11.35,"In bui 1dMap, what effect, if any, would there be from rewriting trans_map[key] = value.substr(1); as trans_map.insert({key, value.substr(1)})?",Associative Containers
Exercise 11.36,"Our program does no checking on the validity of either input file. In particular, it assumes that the rules in the transformation file are all sensible. What would happen if a line in that file has a key, one space, and then the end of the line? Predict the behavior and then check it against your version of the program. 11.4 The Unordered Containers The new standard defines four unordered associative containers.Rather than using a comparison operation to organize their elements, these containers use a hash function and the key types == operator. An unordered container is most C+- useful when we have a key type for which there is no obvious ordering relationship among the elements. These containers are also useful for applications in which the cost of maintaining the elements in order is prohibitive. Although hashing gives better average case performance in principle, achiev- ing good results in practice often requires a fair bit of performance testing and tweaking. As a result, it is usually easier (and often yields better performance) to use an ordered container.",Associative Containers
Exercise 11.37,What are the advantages of an unordered container as compared to the ordered version of that container? What are the advantages of the ordered version?,Associative Containers
Exercise 11.38,"Rewrite the word-counting (S 11.1, p. 421) and word-transformation (S 11.3.6, p. 440) programs to use an unordered_map",Associative Containers
Exercise 12.1,"How many elements do b1 and b2 have at the end of this code? StrBlob b1; StrBlob b2={a,""an"",""the""}; b1 = b2; b2.push_back""about"");",Pointers and Dynamic Memory
Exercise 12.2,Write your own version of the St rB1ob class including the const ver- sions of front and back..,Pointers and Dynamic Memory
Exercise 12.3,"Does this class need const versions of push_back and pop_back? If so, add them. If not, why arent they needed?.",Pointers and Dynamic Memory
Exercise 12.4,In our check function we didn't check whether i was greater than zero. Why is it okay to omit that check?.,Pointers and Dynamic Memory
Exercise 12.5,"We did not make the constructor that takes an initializer_list exp1icit ($ 7.5.4, p. 296). Discuss the pros and cons of this design choice. 12.1.2Managing Memory Directly The language itself defines two operators that allocate and free Pointers and Dynamic Memory. The new operator allocates memory, and delete frees memory allocated by new. For reasons that will become clear as we describe how these operators work using these operators to manage memory is considerably more error-prone than. using a smart pointer. Moreover, classes that do manage their own memory unlike those that use smart pointers-cannot rely on the default definitions for the. members that copy, assign, and destroy class objects ($ 7.1.4, p. 264). As a result, Until you have read Chapter 13, your classes should allocate dynamic WARNING Using new to Dynamically Allocate and Initialize Objects Objects allocated on the free store are unnamed, so new offers no way to name the objects that it allocates. Instead, new returns a pointer to the object it allocates: int *pi = new int; // pi points to a dynamically allocated //unnamed, uninitialized int This new expression constructs an object of type int on the free store and returns a pointer to that object.. By default, dynamically allocated objects are default initialized ($ 2.2.1, p. 43), which means that objects of built-in or compound type have undefined value; ob. jects of class type are initialized by their default constructor:",Pointers and Dynamic Memory
Exercise 12.6,Write a function that returns a dynamically allocated vector of ints. Pass that vector to another function that reads the standard input to give values to. the elements. Pass the vector to another function to print the values that were read.. Remember to delete the vector at the appropriate time.,Pointers and Dynamic Memory
Exercise 12.7,"Redo the previous exercise, this time using shared_ptr..",Pointers and Dynamic Memory
Exercise 12.8,Explain what if anything is wrong with the following function. bool b{ int* p = new int;. //... return p; {,Pointers and Dynamic Memory
Exercise 12.9,"Explain what happens in the following code int *q = new int(42), *r = new int(lo0); b=x auto q2 = make_shared<int>(42), r2 = make_shared<int>(100); r2 =q2;",Pointers and Dynamic Memory
Exercise 12.10,"Explain whether the following call to the process function defined on page 464 is correct. If not, how would you correct the call? shared ptr<int> p(new int(42)); process (shared_ptr<int>(p)) ;",Pointers and Dynamic Memory
Exercise 12.11,What would happen if we called process as follows? process(shared_ptr<int>(p.get()));,Pointers and Dynamic Memory
Exercise 12.12,"Using the declarations of p and sp explain each of the following calls to process. If the call is legal, explain what it does. If the call is illegal, explain why auto p = new int(); auto sp = make_shared<int>(); aprocesssp); b process(new int()); cprocess(p; (d) process(shared_ptr<int>(p)) ;",Pointers and Dynamic Memory
Exercise 12.13,"What happens if we execute the following code?. auto sp = make_shared<int>(); auto p = sp.get(); delete p;. 12.1.4 Smart Pointers and Exceptions In S 5.6.2 (p. 196) we noted that programs that use exception handling to continue processing after an exception occurs need to ensure that resources are properly freed if an exception occurs. One easy way to make sure resources are freed is to use smart pointers. When we use a smart pointer, the smart pointer class ensures that memory is freed when it is no longer needed even if the block is exited prematurely void f() { I / code that throws an exception that is not caught inside f. }// shared ptr freed automatically when the function ends When a function is exited, whether through normal processing or due to an ex- ception, all the local objects are destroyed. In this case, sp is a shared ptr, so destroying sp checks its reference count. Here, sp is the only pointer to the mem- ory it manages; that memory will be freed as part of destroying sp. In contrast, memory that we manage directly is not automatically freed when an exception occurs. If we use built-in pointers to manage memory and an excep- tion occurs after a new but before the corresponding delete, then that memory won't be freed:",Pointers and Dynamic Memory
Exercise 12.14,Write your own version of a function that uses a shared_ptr to man- age a connection..,Pointers and Dynamic Memory
Exercise 12.15,"Rewrite the first exercise to use a lambda ($ 10.3.2, p. 388) in place of the end_connection function",Pointers and Dynamic Memory
Exercise 12.16,Compilers dont always give easy-to-understand error messages if we. attempt to copy or assign a unique_ptr. Write a program that contains these errors to see how your compiler diagnoses them.,Pointers and Dynamic Memory
Exercise 12.17,"Which of the following unique_pt r declarations are illegal or likely to result in subsequent program error? Explain what the problem is with each one. int ix = 1024, *pi = &ix, *pi2 = new int(2048); typedef unique_ptr<int> IntP; a IntP p0(ix; b IntP pl(pi); (c) IntP p2(pi2); d IntP p3(&ix); (e) IntP p4 (new int(2048)); fIntP p5p2.get);",Pointers and Dynamic Memory
Exercise 12.18,Why doesn't shared_ptr have a release member?.,Pointers and Dynamic Memory
Exercise 12.19,Define your own version of StrB1obPtr and update your StrB1ob class with the appropriate friend declaration and begin and end members.,Pointers and Dynamic Memory
Exercise 12.20,Write a program that reads an input file a line at a time into a St rB1 ob and uses a StrB1obPtr to print each element in that StrBlob..,Pointers and Dynamic Memory
